,Unnamed: 0,Reviewer Details, Effectiveness Rating, Ease_of_Use Rating, Satisfaction Rating, Comment,Age,Gender
303,304, 25-34 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,3,was worse withdrawl than her,25-34,Male
304,305, Casey| 35-44 Female  on Treatment for 2 to less than 5 years (Patient) ,4,5,5,I have been taking methadone for over 2 years for fibromyalgia| arthritis and migraines. It has been a miracle drug for me. I can function and be the wife and mother I should be. Without it I can't function. I am perscribed 10 mg 3 x a day. I usually can function on 2 a day. As long as I have muscle relaxers to help with muscle spasm. A lot of people out there think it is a bad drug because you only hear about people who use it to come off of heroine. Used properly it is a Great way to manage pain with way less side effects than other narcotics. I only had about 3 or 4 days of the extreme sleepiness. Taken as it is perscribed| it is great. I feel like me. Not the nightmare I was before. But I think that if a person has issues with dependence they would abuse it| like they will any drug. Unfortunatly a lot people end up being addicted to other pain meds because they are put on the standard narcotics for too long. Then it is all down hill from |there. If it is obviously chronic pain dr's should perscribe a drug that is proven for long term use.,35-44,Female
305,306, popeye| 45-54 Male  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,sometimes I get nerveos when i try to sleep i have leg jerks.  If I don't have methadone I can not get out of bed. If I stay in bed to long I hurt even more.,45-54,Male
306,307, Dr.Gonzo| 25-34 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,Methadone is a very effective medication for anyone that is severly addicted to opiates/heroin| albeit a very dangerous medication if not used properly| or abused with other drugs| especially any kind of benzodiazepines(i.e. xanax/colonopin). If you're 100% serious| and committed to getting| and staying completly clean| and abstinent from drugs| then this medication will be 100% effective in getting you clean. The only side effects that I personally have had problems with| are constipation| and moderate| to sometime severe sweating. Both of which are absolutley nothing| compared to being addicted to opiates/heroin| and living the lifestyle of an addict. I would highly recommend this medication to anyone that suffers from opiate addiction| or to family/friends that are searching for the most effective treatment for a loved one that suffers from addiction.,25-34,Male
307,308, Dr.Gonzo| 25-34 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,Methadone is a very serious| and potentially dangerous medication| and should not be taken unless severe opiate(heroin) addiction... I have been prescribed methadone for years| and it has been 100% percent effective in treating my addiction to opiates. If taken properly| and under the right supervision| it can completly ween one off opiates completly| with the chances of relapse being very low| or not at all. I would highly recommend this medication to someone suffering from severe opiate dependency| or family/friends searching for an effective treatment of a loved one that is suffering from addiction.,25-34,Male
308,309, 25-34 Female  on Treatment for 1 to 6 months (Patient) ,5,5,5,IT IS A VERY GOOD THING FOR PEOPLE TRYING TO GET HELP FOR AN ADDICTION BUT IT IS VRY HARD TO GET WERE IM FROM I HAVE TO DRIVE FOUR HOURS SIX DAYS A WEEK IT HAS BEEN VERY HARD ON ME AND MY FAMILY.,25-34,Female
309,310, Migraine|RA in hands and Fibromyliga| 45-54 Female  on Treatment for 1 to 6 months (Patient) ,5,4,5,I am new to trying Methadone for Migraine|Fibromyliga Pain. Its works for me.|Im feel pain fr,45-54,Female
310,311, 55-64 Female  on Treatment for 1 to 6 months (Caregiver) ,5,4,4,broher taking for pain relief with liver cancer| if oral can this drug be given rectally in pill for,55-64,Female
311,312, tadpole| 65-74 Male  on Treatment for 5 to less than 10 years (Patient) ,4,5,4,I have taken 15 MG per day for years. It works way better than other product.||would like info on withdraw,65-74,Male
312,313, chrisdog| 19-24 Male  on Treatment for 6 months to less than 1 year (Patient) ,4,4,4,causes me to have trouble urinating occasionally,19-24,Male
313,314, SchoMe| 45-54 Female  on Treatment for 1 to 6 months (Patient) ,2,2,2,I am taking 120 mg per day for migraine pain. I have hemicrania continua and have no relief from migraine pain...ever. Having to take 4 pills 3 times per day is ridiculous but methadone does not come in any higher doses for pain relief| only for narcotic adiction. Also| pain is only brought down 2 spikes. I went from 10/10 pain to now 8/10 pain. Still very bad. Doctor suggests upping my dosage again. How many pills will I have to take to actually get some relief?   20 each time?,45-54,Female
314,315, BJ| 25-34 Male  on Treatment for 10 years or more (Patient) ,5,5,5,This has been a miracle for me.I was in terriable pain due to a accident i had i could not do house work hold a steady job|sleep at nite so i went to the doctor and got put on oxycontin80 and norco10/325 it helped for bout a year then i got to were i needed more and more to were in order for my pain to go away i had to get  what i call buzzed out. I knew i could not continue that kind of life so my doctor recomended methadone.And it has totaly changed my life i still have some pain but it is bareable the methadone does not make me fell high but it helps my pain very well i would tell anyone with addiction problems to any type of street drug or pain drug to try this you will be amazed how much it will help you and restore your life in many ways it may take 2or3 days to get the full effect but hang in there you will be glad you did.And it has been great for my pain.Iknow alot of people that has also told me that this has realy turned their lifes around to.I can say it did mine to.I was about to just give up untill i tried this,25-34,Male
315,316, ladyvngnce| 45-54 Female  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,"I had been through a pharmacy of narcotic meds and my anethialogist put me on methadone. I have been taking it since 1998 nad after the first 2 months|saw that the typical symptoms of drowsiness and being""out of it"" were no longer there.After many years of use and having it increased due to tolerance|I take less than I am prescribed and only 2x per day. I am mainly concerned about the effects of long time usage(not withdrawel) but what it may do to my organs and bones. If anyone can tell me about the effects|I would greatly appreciate it.",45-54,Female
316,317, disgusted| 55-64 Female  on Treatment for 10 years or more (Caregiver) ,1,3,1,My husband took methadone (supposidly) to keep him off heroin.  All it did was got him addicted worse to drugs.  He took it to get high. He drank alcohol while on methadone| which made it even worse. It is very expensive and made him even more desperate than before.  He is now dead because he actually thought he was fooling someone. It should be against the law!!!,55-64,Female
322,323, hurt52| 45-54 Male  on Treatment for less than 1 month (Patient) ,3,3,3,seems so crazy i quite to much,45-54,Male
323,324, Caveman88| 35-44 Male  on Treatment for 5 to less than 10 years (Patient) ,4,4,3,Side effects stink and i have to take other pain meds to control what it doesn',35-44,Male
324,325, [email protected]| 55-64 Female  on Treatment for 10 years or more (Patient) ,5,5,5,I became dependent on opiates| how and why is not the issue| they are just excuses! what is important| first and foremost it can happen to best of people! NOW 'how do I get off safely? The only thing that has helped me stop the cravings has been methadone. If you truly want off you will only start with 30mg and work downward! I suggest you take 30mg for the first 3 months| (depending upon how much medications you were taking to start with| I was taking up to 25 to 28 lortabs a day| therefore I am thinking most of you reading this has never taken that much in a day and some of you are taking more such as heroin. There is NO difference|  Just because it is prescribed does not make you any less a drug addict| the last person you want to try and fool is yourself. The first step to be free of this addiction is to admit you are addicted| so be it| now| move on and do not beat yourself up over it. I am at this very moment trying to practice what I preach. I am stepping down to 20mg  this month and next 10mg and prayerfully I will only be doing this for the next two months. Please keep me in your prayers as I will you. I am no longer chasing a high and I am so thankful for that. If you would like to contact me by email; ([email protected]) I wish you the best| I think we have all wasted a lot of precious time. I assure you after this experience| I will never judge another. Bad things happen to good people| and you and I are one of those good people;) have a blessed day and let me know how you are doing.,55-64,Female
325,326, bama| 45-54 Male  on Treatment for 10 years or more (Patient) ,1,5,1,sn't work for severe pa,45-54,Male
326,327, Pat| 55-64 Male  on Treatment for 6 months to less than 1 year (Patient) ,5,5,5,works very well with morphine to help pain with chronic leg ulcers from agent orange. had ulcers for 20+ years and this only combo that has work,55-64,Male
327,328, Mimi| 55-64 Female  on Treatment for 10 years or more (Patient) ,5,5,5,This medication stops my pain without getting me high.,55-64,Female
328,329, WHYME| 55-64 Male  on Treatment for less than 1 month (Patient) ,5,5,5,LONG LASTING RELIEF FROM COUGH AND PAIN,55-64,Male
330,331, angelo| 45-54 Male  on Treatment for 1 to less than 2 years (Patient) ,5,3,4,works well on pain. all pain meds have side effec. these r a,45-54,Male
331,332, toddshindler| 45-54 Male  on Treatment for 10 years or more (Patient) ,3,4,4,ps with my IC and extreme lower back pain.  Causes constipation and dizziness and drowsiness.,45-54,Male
332,333, hnegron| 25-34 Male  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,Is great and use like 8 year for addiction to heroin know i have my life back is a life saver for addic,25-34,Male
334,335, neckpain| 35-44 Female  on Treatment for 1 to less than 2 years (Patient) ,2,4,2,It doesn't help for long and very much at all.,35-44,Female
335,336, concon2678| 25-34 Female  on Treatment for 1 to less than 2 years (Patient) ,4,4,3,I have been on this med for 1 year| it gives me relief from my severe back pain but if i run out before my 30 days i have bad withdrawls| my whole body hurts from head to toes. my doctor claims i cant get a higher dose i take 10 mg i take freakin 6x a day i wish i didnt have to take so many| the meds also help me sleep through the night with the pain eased. also he claims this med can scause rotten teeth and rot in your bones is that true?,25-34,Female
336,337, naomi| 55-64 Female  on Treatment for 1 to 6 months (Patient) ,5,5,5,have been on methadone with gabapentin for the last 4 months for extreme nerve and back pain |the only thing that has worked for the pain has been a combination of the two meds.,55-64,Female
337,338, UniquelyMe| 35-44 Female  on Treatment for 10 years or more (Patient) ,4,5,4,I take 120 mg. a day and have for 10 years for CP...It works great but after this long my tolerence is high...I would like to up the dose but am scared.  It does work....,35-44,Female
338,339, val| 45-54 Female  on Treatment for 1 to 6 months (Patient) ,5,5,5,y problem is constipa,45-54,Female
339,340, Carol| 45-54 Female  on Treatment for less than 1 month (Patient) ,3,5,2,I have only been on this medication a short time| having been on oxycontin for 10 years. I dont really like this medication. I also had something happen to me however I do not know if it is related to or not. I had been having an unusually hard time staying awake| I was falling asleep while standing| doing household chores. I left and went to have hay set out for my horses and I only spent maybe 20 min. there| I remember walking to my truck and the next thing I knew my daughter and son were trying to get me into my house. I had been passed out for four hours and when my daughter found me my truck was running| I was slumped over the steering wheel| I was barley breathing and my lips were blue. I was very lucky they found me when they did| and it is a very scary ordeal!,45-54,Female
341,342, jsc321| 45-54 Male  on Treatment for 1 to less than 2 years (Patient) ,5,5,5,After 9 yrs of lortabs| vicodins| oxcycodone| roxacets  starting at the 5mg level to the highest mg level they make for all of these 40 mg of methadone for the past yr. has changed my life.Absolute pain relief without a buzz|no dry mouth|and no itching and cost next to nothing.After seeing my pain Dr. for 10 yrs. I can't understand why he didn't start me out on it to begin with,45-54,Male
343,344, cuddlecrazy| 35-44 Female  on Treatment for 1 to 6 months (Caregiver) ,1,1,5,hrowing up sleepiness,35-44,Female
344,345, vivaladivaiam| 45-54 Female  on Treatment for 10 years or more (Patient) ,5,5,2,he side effects are starting to out weigh the benefits| ie| liver damage| kidney damage| my body has aged about 30 years as I have been on methadone 10 years.,45-54,Female
345,346, Garrbosr| 45-54 Male  on Treatment for 5 to less than 10 years (Patient) ,4,4,4,I read these all the time as I am  a chronic pain patient| was inquiring to Methadone for a friend taking this drug| as aposed to my MS contin. My comment is to vegasrag' comment when deciding to stop taking this drug. Obviously He did so on his own without much research  and I felt horable for his experience. Had he done a little research he would have takin a different rout and assistance slowly backing off like the comment just 2 before his As with any serious pain med you dont just stop taking it. Thats like signing your own death warrant. Im amazed he survived and happy for him but GEE WIZ that was plain stupid !!!,45-54,Male
346,347, james| 35-44 Male  on Treatment for 1 to less than 2 years (Patient) ,5,5,5,g,35-44,Male
347,348, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) ,4,5,4,3yrs ago| my pain control doctor| suggested that I try Methadone since I still have to work. She told me that it would keep me clear headed enough| so I could still work and not be in a fog all the time. It is the best I have used over the yrs for my chronic back pain.,45-54,Female
348,349, lee| 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) ,2,5,2,very little pain relief,55-64,Female
349,350, Sarge| 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,4,4,4,"I was on a Morphine regiment due to a severe back injury. After taking it for a few years I developed a resistance to it and was on very high dose. I researched Methadone and spoke to my Pain Management Doctor about it. He agreed to start me on it and I will tell you|""What a Difference between the two"". I am on 70Mg 4 times a day and it manages my pain very well!",45-54,Male
350,351, johnvodosia| 25-34 Male  on Treatment for 2 to less than 5 years (Patient) ,5,4,5,has worked very well for treating my chronic pain i have. four years ago i had a vertebral fusion that i don't think went well. I now have a herniated disk above and below my fusion.I really hate being a prisoner to something like pain medication but i cant stand the pain either.,25-34,Male
352,353, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,4,4,4,I use this for diabetic neuopathy. works well with very little side effects.,45-54,Male
353,354, berniet| 55-64 Male  on Treatment for 1 to 6 months (Patient) ,2,5,1,as effective as the orignal oxyc,55-64,Male
354,355, John| 55-64 Male  on Treatment for 1 to 6 months (Patient) ,3,3,2,I have noticed my blood pressure has increased since I have started using this medication. What I don't like about this med is that it causes me to nod| like being half asleep and half awake. This drug carries with it a stereo-type| because even this pharmasist thinks your a drug users trying to clean up your act.,55-64,Male
356,357, Dixie| 35-44 Female  on Treatment for less than 1 month (Patient) ,4,4,4,Taking this medication has allowed my body ton experience some relief in my struggle to deal with pain in hands and feet until a diagnosis is further explored.,35-44,Female
358,359, bassojjb| 55-64 Male  on Treatment for 1 to 6 months (Patient) ,4,4,2,since starting this drug 3 months ago i have stared having high blood pressure. does this drug cause high blood pressure. it has helped my pa,55-64,Male
359,360, Eddie| 45-54 Male  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,It has help me to get around better.|,45-54,Male
360,361, magick| 45-54 Female  on Treatment for 10 years or more (Patient) ,5,5,5,ad a failed double fusion in my spine. Have had back pain for over 30 years. Takes the pain away and I don't seem to have any negative side effects (except addiction) but| you get that with any pain medication taken for a long period of time. Funny| I usually have a very sensitive stomach but| not with this.,45-54,Female
361,362, methadone Oral| 55-64 Female  on Treatment for 2 to less than 5 years (Patient) ,2,1,1,Nasty side effects| all of which you mentioned.  The relief is postponed by just being weak and terribly tired.....no wonder the pain is less-with two wonders at work.....drugs and their side effects.  Very disappointed.,55-64,Female
362,363, loveOceanBeach| 25-34 Female  on Treatment for 1 to less than 2 years (Patient) ,5,5,2,I have had a couple of back surgeries&was experiencing excruciating pain to the point I eventually ended up needing to take methadone.Methadone was very helpful but you do need to be careful while taking it&I never put mine in water before I took them. I recently found a new pain dr.& wanted to stop taking the drug to see what my pain felt like with no narcotic medication at all. After being instructed by a dr| on how to ween myself off the medication&doing so my pain was actually feeling A LOT better.I am taking a medication for nerve pain Gabapentin which is not a narcotic but has been very helpful.While on methadone it made me gain weight|lose interest in my life(believe I was over medicated) sweat profusely|stomach issues&I now am back to normal! 1 thing im not sure about is my skin since going off it has been very oily|doesnt seem to be a side effect of my new med&was wondering if anyone else has had this happen? Possibly a withdrawal symptom. The way I went off of this drug also was fairly easy&withdrawals were at a minimum I only had some hot/cold sweats on occasion. I was under my Dr.'s instruction though! Don't try to go off of this without your Dr.!!!,25-34,Female
363,364, cdip486| 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) ,4,3,4,I just learned from reading this page today| that it needs to be disolved in liquid| before taking it. Now understand that my pharmacy never gave me that pamphlet| so I just followed the bottle dispensing directions and what my Pain Mgt. Dr. told me. The relief has been 'okay'| but not great! NOBODY said anything about disolving the tablets. NOT even on the dispensing bottle| not once! Yet| I always come to this page to read up on whatever I'm give| 'usually' right away| so I suppose this is really my own fault. I also feel a bit more enligtened and will be extra careful with it now| having read a few more of the reviews that I have.,45-54,Female
365,366, vegasrag| 45-54 Male  on Treatment for 10 years or more (Patient) ,5,5,1,r pain management| methadone is extremely effective for the control of pain. And it has positive attributes that other opiod type medications lack. Such as not feeling sedated or complete euphoria all of the time and it is excellent at relieving severe pain. I personally was taking methadone for over 15 years for pain management. The longer I took the drug the more side affects I started to experience.AT THIS POINT i OFFER A WORD OF WARNING!!! Once you have become dependent on methadone it's next to impossible to get off of it. Because of the extremely long half life (up to 200 hours according to a recent study) discontinuing use of the drug can put your body in extreme danger.IF YOU MAKE THE DECISION TO USE METHADONE FOR BASELINE PAIN MANAGEMENT PLAN ON TAKING IT FOR THE REST OF YOUR LIFE. When I stopped using methadone the severe withdrawal affects lasted for 6 weeks and I wasn't physically or mentally stable for at least 6 months.. I made the decision to stop taking pain medication without looking into the consequnces. Within 48 hours I had severe diareha|vomitting|anerexia|dehydration|depression and borderline suicidal tendencies. And I'm someone that would never take my own life! I collapsed and my family called 911. From this point I didn't remember the next 14 days. When the paramedics saw me they thought I had taken an overdose of methadone and injected me with a narcotic antagonist called Narcon. I immediately went into seizure. Buy the time I got to the hospital I had 2 grand mal seizures and died. Thay were able to revive me but once I was in the emergency room it occured one more time and I had to be revived again. For the next 10 days I was on life support in ICU. Once released from the hospital it took a month before I could control my bowel movements|able to feed myself|see across the room or walk without assistanse. I hope that at least one person reads this and takes it to heart. Most people end up on it for the rest of thier life.-------Rick G.,45-54,Male
366,367, kvgkegsmeg| 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,5,4,5,This drug has really turned my life around! Yes| it does have MANY side effects and if you are like me| the clinic is a pain to deal with. But it does get better. I have been on methadone since Feb '06 after my father-in-law overdosed on oxycontin. I am in the healthcare field and have researched extensively all the side effects and TRUE data from real trials. Most people gain weight| but that is only due to an increase in cravings for sweets| not to mention you probably weren't eating hardly anything when you were using. Constipation is a very real and sometimes bothersome side effect but I find that most people would rather be constipated than using or withdrawling. Now withdrawls are horrible. BUT if you will use the medicine like you are supposed to and slowly taper down| which may take quite a long time| you can be successful. Overdoses are NOT as common as the media likes to make it sound. 99 times out of 100 the overdose is due to interactions with other drugs| usually xanax. Also| contrary to popular belief| methadone does not get you high and most of those that need a higher dose are NOT doing it just to abuse the treatment. They normally have a high tolerance. If you would like more info or just want to talk or ask questions please feel free to email me. [email protected],25-34,Female
367,368, 55-64 Female  on Treatment for 1 to less than 2 years (Patient) ,5,5,3,swings irratiability,55-64,Female
368,369, mountian man| 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,"I have had (2) major spinal fusions| and live with plates| bolts and nuts inside my spine| along with scar-tissue. Years later| I damaged (2) discs ABOVE the fusion-zones| which eventially led to a partially successful IDET for those two discs.||I LIVE with chronic pain every single day| ""2"" on a good day| ""3"" on a bad day| ""4"" when I have a flare-up of the discs and have to use a steroid-pack.||I've been ""around the block"" with pain-meds. About 5 years ago| a new doctor| where we moved to| put me on maintenance methadone. I now take 80 mg/day| which is a lot| but the pain is stubborn| and I have developed a tolerance to pain-meds. When dosed on methadone| my pain goes down to about a ""1"" (normally| if not in a state of ""flare-up""| when I also use steroid packs).||Methadone WORKS| period. It's the BEST pain-med I have EVERE been on. It drops my pain to very low levels| with ZERO sleepiness| sleep disturbances| problems concentrating| loss of coordination| etc. For me it has been a MIRACLE drug.||Although I still live with daily restrictions and disabilities| I live a fairly normal life with the methadone. Without it| my life would be VERY different| I would be mostly bed-bound. I suspect I would haved ""pulled the plug"" by now.||Before methadone| I had been on MANY pain-control drugs| including Oxycontin. This works better| has a VERY long half-life| for me has almost zero side-effects| and is amazingly effective. IT WORKS.",45-54,Male
369,370, mibarra2| 35-44 Female  on Treatment for 10 years or more (Patient) ,5,5,5,I'm 38yrs old and have already had one knee replaced with no success and numerous more surgeries to try to fix it. I have had 3 surgeries on my other knee and injections in my back |I have bulging discs| scoliosis| and degenerative disease in my spine.I have tried every pain med there is and the only thing that worked for me was methadone. It is great but because i have been on it for so long we keep having to increase my dose right now I'm at 60 mg a day and with the way things are now a days | the stigma that goes along with it my dr is cutting me of at that dose and in my town its almost impossible to find a dr that even prescribes it Im afraid he will stop altogether then I'm in trouble. My life is already hard enough to live I don't know what i would do without the methadone.I wish the FDA and DEA would leave the dr's alone and let them care for there patients.,35-44,Female
371,372, crazykirsten| 25-34 Female  on Treatment for 1 to 6 months (Patient) ,5,4,3,Withdrawl is hell but it works great for pain| some side effects are leg swelling| and other drug interactions. Very easy to become dependant and like i said withdrawl is unbearable for like a month.,25-34,Female
372,373, 35-44 Female  on Treatment for less than 1 month (Patient) ,4,4,5,he past have taken 10 lorcets a day.|with this medication 1 40 mg pill will last 10 hours or more| with hopes of slowly winging myself from the drugs.,35-44,Female
373,374, 35-44 Female  on Treatment for 1 to less than 2 years (Patient) ,5,5,5,After living with chronic back pain for 6 years and having back surgery| I've tried everything!  Even changing doctors!  My new doctor put me on methadone and what a difference!!  I am alive again!  I can work with no problems and take care of my family. I have no side effects and I feel wonderful!,35-44,Female
374,375, bubbles| 45-54 Male  on Treatment for 10 years or more (Patient) ,3,3,3,have been taking methadone now for 13yrs along with oxycodone for breakthrough take 80mg a day of methadone and 3 30mg oxycodone.started out with back surgery that didnt work to good to having diabeties and having 2 toes amputated with maybe 2 more to be amputated.it seems my pain from the diabeties is far worse than my back.now my whole body is in severe pain.it seems like to most people that this is a lot of pain medicine but for me its not.im 230lbs also so it takes me more along with how long ive been taking it.in my opinion once your on methadone for a long period there is no getting off of it.if you ever run out or whatever you will pray to god to help you.its on the verge of madness.my pain is getting worse and my pain doctor says he can raise my methadone.i guess there is no limit on dosing for methadone.,45-54,Male
375,376, eazy65| 45-54 Male  on Treatment for 10 years or more (Patient) ,5,5,5,changed my life|back to norma,45-54,Male
377,378, scorpiosky| 35-44 Male  on Treatment for 10 years or more (Patient) ,5,5,5,have been taken this drug for 16 yers & i have found that it kill's pain better than other opiates  with very little increase of dosage over a long period which is alot better than most narcotics the only thing that is a problem is you'll need to take a laxitive if you take for a long,35-44,Male
378,379, Methadone| 55-64 Male  on Treatment for less than 1 month (Patient) ,4,5,5,Swelling of both legs,55-64,Male
379,380, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,4,3,4,helpfull for pain and no longer taking prescription drugs prescribed by drs.|,45-54,Male
381,382, 65-74 Female  on Treatment for 5 to less than 10 years (Patient) ,3,4,4,I take methadone and hydrocone for fibromylgia pa,65-74,Female
382,383, marcbish| 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,4,5,5,I was prescribed percocet|vicodin prior to the methadone and the methadone has been a pretty good reliever for the past 2 years,45-54,Male
384,385, merrzlecat| 35-44 Female  on Treatment for 5 to less than 10 years (Patient) ,3,1,1,This stuff is terrible. Yes| ithelps in the beginning but problem is is that it is hell to get off of and once you choose to get off of it the doctors try to convince or bully you into staying on it or just outright refuse to lower the dosage knowing full well that people cannot physically handle the side effects of just walking away. This medication has ruined the past 5 yrs of my life| and at this point i'm finally getting off it because i dragged a lawyer into the mix. DONT EVER TAKE THIS STUFF UNLESS YOU DONT MIND A FORCED ADDICTION!!!!!!,35-44,Female
385,386, 50harley| 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,4,5,5,This is the only choice if you are still working.It does not afect your ability to make decisions.,45-54,Male
386,387, ang| 25-34 Female  on Treatment for 1 to less than 2 years (Patient) ,5,5,5,I was in a accident i hit a deer so i hurt myself bad my dr gave me oxycocet and oxycontin to help relive my pain. It did work but after 3 yrs of being on this medication it was not as effective so i started getting stronger meds so to shorten my story i was addicted to narcotics i found out about methadone asked the dr and he told me he doesnt believe in it and wouldnt help me so i went on my own to a methadone clinic and started i thank god i did i feel so much better everyone noticed a huge difference in me they said i looked better and everything now i feel great i am so thankful for this program now i am starting in a few weeks to get off this medication but i will still need it for my pain and it does help with all my pain in my back..,25-34,Female
387,388, MrD| 35-44 Male  on Treatment for 1 to less than 2 years (Patient) ,5,5,4,If you run out you go through hell as withdrawal sets in| my neurologist told me if you stop suddenly you could die!,35-44,Male
388,389, luanareece7| 45-54 Female  on Treatment for 1 to 6 months (Patient) ,1,3,1,I don't feel any less pain in using this med than I did using the others I was using before. As a matter of fact I feel less. They don't do anything for migrains at all.,45-54,Female
389,390, natewil| 55-64 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,3,hadone effects my sexual desires where idon't want to have sex.|,55-64,Male
390,391, NEIRDA EROOM| 55-64 Male  on Treatment for 2 to less than 5 years (Patient) ,4,4,4,METHADONE UNLIKE SOME OF THE OTHER OPIOD  DRUGS DID NOT MAKE ME FEEL LIKE A ZOMBIE|FORGETFULL OR FALL ASLEEP. I COULD THINK WELL AND INTERACT WITHOUT COMPLICATION.,55-64,Male
391,392, Pirx the Pilot| 35-44 Male  on Treatment for 5 to less than 10 years (Patient) ,3,1,1,Absolutely the worse drug to try to come off ever!  I had taken methadone for 5+ years for intractable chronic pain| but the side effects kept getting more and more severe.  If you are male the drug causes as much of a drop in testosterone as amputating your testicles - and this was told to me 3 years into treatment by my doctor.  He then showed me all the other meds I would need to counteract the side effects of methadone - testosterone being the least concerning.  The methadone cooked my thyroid so now I am on synthroid.  Because I have low energy on methadone I was told I would need to take anti-depressants to boost mood and energy.  This drug starts benign and gets worse and worse.  My wife and kids said I was becoming withdrawn and silent| unemotional.  I came off over a year ago and am still having withdrawal - I wish I never came near this poison.,35-44,Male
392,393, obxsurfergurlo2| 19-24 Female  on Treatment for 1 to 6 months (Patient) ,5,5,5,After being on vicodin for 2 1/2 years| taking upwards of 6 or more pills a day and finding little or no relief for the extremely painful Labral tear in my right hip|my doctor suggested I try methadone.The difference is like night and day! even at only 5mg a day the pain is SO much better! I'm actually able to function now rather than suffering constantly. I would suggest anyone suffering from chronic pain to talk to your DR. about trying it. it helps a lot!,19-24,Female
393,394, misrichens| 25-34 Female  on Treatment for 10 years or more (Patient) ,5,5,5,I have been on Methadone 10mg. for 13 yrs now| I have tried everything else there is out there and this is by far the most effective| long lasting| low side effect and cheapest drug out there!!! I wouldnt recommend being on opiads unless absolutly having no other option but if your like me and have no other choice then this is great. You dont get the uphoric 'false sense of well being' like loritab and some do but if thats why your on it | you need other help! As for pain relief its awesome. I still have pain thats not totally taken care of but it may never be...I did notice after so long being on the same dose it didnt work as well so I did have to increase my dose| but in 13 yrs i've only gone up from 3 x day to 6 x a day| and if you know anything about painkillers thats great! Sometimes I do have constipation| and I just in the last 4 yrs or so have been getting horrible migraines but noone can direct the blame to methadone. You can get very dizzy and nauseated if you dont eat but thats normal for any pain med. I love it and wouldnt trade it for any other painkiller thats on the market thus far. Good luck and I hope it works for you all!,25-34,Female
397,398, 45-54 Female  on Treatment for 1 to 6 months (Patient) ,5,5,5,"I had been on 60 mg of norco for 4 years along with muscle relaxants and assorted cocktail for severe back pain.  Upon switching to methadone I have unbelievable pain relief with no associated ""high"".  There are some side effects| but tweaking the amounts of my other drugs has virtually eliminated them.  It may have been developed for heroid addiction| but with the pain relief I am getting| I could care less about the stigma at the pharmacy.  Best relief I've had since my injury six years ago!  Highly recommend it.",45-54,Female
399,400, Baby Face| 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) ,5,5,5,I've been doing much better and have been able to work and do day to day things and not pay the pain price doing,25-34,Female
400,401, NesserAnn| 35-44 Female  on Treatment for 10 years or more (Patient) ,5,5,5,"Upon taking this medication orally inside a clinical invironment| it helped me dramatically. I had no desire or cravings for any other substance. However| I did find out the hard way that you CANNOT discontinue the medication ""cold turkey"". There are severe side effects when withdrawing from methadone without the help of a physician.",35-44,Female
401,402, big dog| 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) ,4,4,4,was on oxycontin 40 mg twice @ day for degenerative disk diease| 3 bulging disk| spinal stenosis| was always hurting. Could only work in the yard for 30 minutes before my back would give out completely and then in srious pain! The longer I took the oxy the less it worked until it did not work at all. Was given the methadone and it works great some days I can even for go using it and go every other day as it treats the pain better.  The down side is everyone associates this methadone with heroin use and that is what tends to keep me away from filling the scripts.  People at the pharmacy look at you funny.  Too bad because it works great.,45-54,Male
402,403, momof4| 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,5,2,1,I started taking this medication 2 and half years ago when after 5 surgeries in 6 months time left me addicted to opiates. I thought it was a miracle drug at first but soon changed my mind when I tried to come off of it! It is extremely hard to come off of and you have to go through the same withdrawls as other opiates just not as bad and they are monitored by the *methadone clinic*. Yes it helped at first and continues to help but some of the side affects are extremely aggravating such as constipation| weight gain| very serious interactions with other drugs such as xanax!| lack of sleep| and the price of the medication (13.00) a day and the clinic is 30 minutes from my house that at first i had to travel everyday and now i get take homes and have to go to the clinic 4 times a week but the money is the number issue as the clinic does not accept insurance! The clinic is aggravating as they only accept cash in bill form no loose change and they do not give change they put it on the books for the next day! So if there is an alternative to methadone i suggest you take the alternative! I hope I have been helpful!,25-34,Female
